H [A/m] - Hystereschleife	
	B [T] - Hystereschleife
	H [A/m] - Neukurve
	B [T] - Neukurve
	
0,327435	-0,0653392
0,561317	-0,0650994
0,841976	-0,0648589
1,02908	-0,0646178
1,16941	-0,0643762
1,40329	-0,0641336
1,73073	-0,0638901
1,7775	-0,0636458
2,01139	-0,0634008
2,24527	-0,0631554
2,61948	-0,0629094
2,52593	-0,0626623
2,85336	-0,0624143
3,13402	-0,0621656
3,32113	-0,0619166
3,50823	-0,0616673
3,88244	-0,0614174
3,92922	-0,0611665
4,1631	-0,0609145
4,44376	-0,0606617
4,67764	-0,0604085
4,86475	-0,0601548
5,00508	-0,0599002
5,28574	-0,0596448
5,51962	-0,0593888
5,70672	-0,0591321
5,84705	-0,0588749
6,22127	-0,0586174
6,36159	-0,0583592
6,50192	-0,0581001
6,82936	-0,0578401
7,01646	-0,0575793
7,20357	-0,057318
7,39068	-0,0570562
7,71811	-0,0567941
7,85844	-0,0565314
7,99877	-0,0562676
8,27943	-0,0560032
8,51331	-0,0557382
8,60686	-0,0554727
8,88752	-0,0552069
9,1214	-0,0549407
9,30851	-0,0546736
9,44884	-0,0544055
9,68272	-0,0541369
9,96338	-0,0538675
10,1037	-0,0535977
10,2908	-0,0533274
10,6182	-0,0530564
10,8521	-0,0527843
10,8989	-0,0525115
11,2731	-0,0522382
11,4134	-0,0519645
11,5538	-0,0516905
11,8344	-0,051416
12,0215	-0,0511406
12,2554	-0,0508645
12,4425	-0,0505877
12,6764	-0,0503104
12,8635	-0,0500327
13,0506	-0,0497546
13,2377	-0,0494763
13,5184	-0,0491973
13,7055	-0,0489174
13,8926	-0,0486369
14,0797	-0,0483558
14,3136	-0,0480741
14,4071	-0,0477922
14,6878	-0,0475099
14,9217	-0,047227
15,2023	-0,0469434
15,2959	-0,046659
15,4362	-0,0463738
15,7637	-0,0460882
15,8572	-0,0458022
16,1379	-0,045516
16,3718	-0,0452296
16,5121	-0,0449426
16,746	-0,0446549
16,8863	-0,0443665
17,0734	-0,0440776
17,2137	-0,0437881
17,4476	-0,0434982
17,6347	-0,0432081
17,8686	-0,0429176
18,1025	-0,0426264
18,3364	-0,0423347
18,4299	-0,0420423
18,617	-0,041749
18,8509	-0,0414552
19,0848	-0,0411613
19,1783	-0,040867
19,3654	-0,0405725
19,6929	-0,0402777
19,8332	-0,0399822
19,9735	-0,0396858
20,1606	-0,0393886
20,4881	-0,0390909
20,6284	-0,0387928
20,722	-0,0384946
21,0962	-0,0381963
21,2833	-0,0378975
21,4236	-0,0375984
21,5639	-0,0372991
21,8446	-0,0369992
21,9849	-0,0366986
22,1253	-0,0363973
22,4059	-0,0360955
22,593	-0,0357933
22,6866	-0,035491
22,8269	-0,0351886
23,0608	-0,0348859
23,2011	-0,0345829
23,3882	-0,0342797
23,7157	-0,033976
23,856	-0,0336714
24,0431	-0,0333661
24,2302	-0,0330606
24,5108	-0,0327546
24,6512	-0,0324482
24,7915	-0,0321416
24,9786	-0,031835
25,1657	-0,0315282
25,3528	-0,031221
25,4932	-0,0309133
25,7738	-0,0306051
25,9141	-0,0302964
26,0077	-0,0299871
26,1948	-0,0296775
26,4755	-0,0293674
26,4755	-0,0290569
26,7093	-0,0287462
26,8964	-0,0284355
27,0368	-0,0281246
27,3174	-0,0278133
27,5981	-0,0275016
27,832	-0,0271896
27,8788	-0,0268771
28,0191	-0,0265643
28,2997	-0,026251
28,4868	-0,0259373
28,4868	-0,0256231
28,8143	-0,0253088
28,9546	-0,0249943
29,0482	-0,0246797
29,2353	-0,0243649
29,5159	-0,0240501
29,4692	-0,0237352
29,7498	-0,0234202
29,9369	-0,0231049
30,1708	-0,0227894
30,2644	-0,0224738
30,3579	-0,0221579
30,7321	-0,0218415
30,8724	-0,0215247
30,9192	-0,0212076
31,2467	-0,0208901
31,4338	-0,0205718
31,4338	-0,0202534
31,6209	-0,0199348
31,9015	-0,0196161
31,9483	-0,0192972
32,0886	-0,0189782
32,3693	-0,0186591
32,5096	-0,0183399
32,6032	-0,0180205
32,7435	-0,0177011
33,0709	-0,0173813
33,1645	-0,0170614
33,2113	-0,0167416
33,4919	-0,0164214
33,5855	-0,0161007
33,7258	-0,0157795
33,8194	-0,0154584
34,1	-0,0151368
34,1936	-0,014815
34,3807	-0,0144932
34,6613	-0,0141713
34,7549	-0,0138491
34,942	-0,0135265
34,9888	-0,0132039
35,2227	-0,0128812
35,363	-0,0125583
35,4565	-0,0122354
35,5969	-0,0119124
35,7372	-0,0115895
35,8775	-0,0112664
36,0179	-0,0109433
36,2517	-0,0106203
36,3921	-0,010297
36,4856	-0,00997384
36,6727	-0,00965063
36,9066	-0,00932704
36,9066	-0,00900332
37,0469	-0,0086796
37,234	-0,00835562
37,3276	-0,00803139
37,5615	-0,0077069
37,7018	-0,00738215
37,8889	-0,00705754
37,9357	-0,00673292
38,076	-0,00640766
38,3099	-0,00608227
38,4502	-0,00575714
38,5906	-0,00543176
38,6841	-0,00510624
38,918	-0,00478073
38,9648	-0,00445508
39,1519	-0,00412944
39,2922	-0,0038038
39,4325	-0,00347803
39,6196	-0,00315213
39,8067	-0,0028261
39,9003	-0,00250007
39,9471	-0,00217404
40,0874	-0,00184776
40,3213	-0,0015216
40,4616	-0,00119558
40,5084	-0,000869421
40,6955	-0,000543009
40,8826	-0,000216468
